address_detail_pid,nearest_blue,blue_km,blue_hr,nearest_green,green_km,green_hr,nearest_orange,orange_km,orange_hr,nearest_red,red_km,red_hr,nearest_ambo,ambo_km,ambo_hr
GATAS717237066,fh206,1.0790542995233108,0.0925,fh131,160.3411644211266,2.3513888888888888,fh174,236.15800946250312,3.743333333333333,nan,-1,-1,fa621,1.0167248472997363,0.06888888888888889
GATAS702214326,fh206,1.8412282398670852,0.10277777777777777,fh131,158.3462465108089,2.2552777777777777,fh174,234.4222872732572,3.647222222222222,nan,-1,-1,fa621,1.523534978007768,0.08527777777777777
GATAS702603571,fh206,1.644034419071958,0.10416666666666667,fh131,160.56080975842113,2.3633333333333333,fh174,236.1315933653,3.755,nan,-1,-1,fa621,1.569816111845826,0.08361111111111111
GATAS702232427,fh206,0.7898716863993325,0.04833333333333333,fh131,159.21681009000892,2.3230555555555554,fh174,235.48125697065268,3.715,nan,-1,-1,fa621,0.5053098083432526,0.03
GATAS702292213,fh206,1.6553382413287778,0.09555555555555556,fh131,159.35159911481853,2.3169444444444443,fh174,235.03938170568546,3.7088888888888887,nan,-1,-1,fa621,1.3769067829582227,0.07805555555555556
GATAS702289522,fh206,1.4182201901010543,0.10111111111111111,fh131,159.65882895453544,2.3222222222222224,fh174,235.38231941255836,3.714166666666667,nan,-1,-1,fa621,1.176586687018088,0.08333333333333333
GATAS702439853,fh206,0.6494343790944287,0.058611111111111114,fh131,159.3283750779933,2.3333333333333335,fh174,235.6466685339602,3.725,nan,-1,-1,fa621,0.4142568872435543,0.04027777777777778
GATAS702254631,fh206,0.5139640423068512,0.0525,fh131,159.46566895493058,2.3272222222222223,fh174,235.76892752068983,3.7191666666666667,nan,-1,-1,fa621,0.2854283266551706,0.044444444444444446
GATAS702234060,fh206,0.23309322604094643,0.03722222222222222,fh131,160.03307106337905,2.3119444444444444,fh174,236.41260438223756,3.703611111111111,nan,-1,-1,fa621,0.5327499217806748,0.043611111111111114
GATAS702494837,fh206,2.497664120119314,0.13944444444444445,fh131,159.32964037499636,2.3541666666666665,fh174,234.6383057952145,3.746111111111111,nan,-1,-1,fa621,2.239289608889121,0.12166666666666667
GATAS717756310,fh206,1.186801484803542,0.09027777777777778,fh131,160.58250078856742,2.3583333333333334,fh174,236.37439815749514,3.750277777777778,nan,-1,-1,fa621,1.1820851472232714,0.075
GATAS702379634,fh206,2.365594547184532,0.13472222222222222,fh131,159.2862757766129,2.346111111111111,fh174,234.6641530828011,3.7377777777777776,nan,-1,-1,fa621,2.1007985262622246,0.11722222222222223
GATAS702504480,fh206,2.2204258571853135,0.12333333333333334,fh131,158.61471040525672,2.326111111111111,fh174,234.2777968653036,3.7180555555555554,nan,-1,-1,fa621,1.9036397806059338,0.10583333333333333
GATAS702248309,fh206,1.018941849318309,0.08833333333333333,fh131,159.45975463900075,2.3269444444444445,fh174,235.41959186314278,3.718611111111111,nan,-1,-1,fa621,0.7218025064107356,0.07472222222222222
GATAS702280233,fh206,1.2671972260268247,0.10027777777777777,fh131,159.50971515371512,2.3216666666666668,fh174,235.3355658740982,3.713611111111111,nan,-1,-1,fa621,0.9944652390425489,0.08277777777777778
GATAS702630439,fh206,1.3520529235817833,0.08777777777777777,fh131,159.28408723270925,2.3088888888888888,fh174,235.13876308591628,3.700833333333333,nan,-1,-1,fa621,1.0510556678044687,0.07
GATAS702249574,fh206,1.5443586088865844,0.11444444444444445,fh131,160.77734860039953,2.3819444444444446,fh174,236.42112026316008,3.7736111111111112,nan,-1,-1,fa621,1.5316945862954756,0.09861111111111111
GATAS702277433,fh206,1.8841843025245417,0.11916666666666667,fh131,160.07672277813302,2.3466666666666667,fh174,235.54427419294373,3.7383333333333333,nan,-1,-1,fa621,1.7099210367052944,0.1025
GATAS718386120,fh206,1.8547455603067464,0.12361111111111112,fh131,160.93101551291804,2.391111111111111,fh174,236.44352594893067,3.7827777777777776,nan,-1,-1,fa621,1.8343837199447457,0.10777777777777778
