address_detail_pid,id,dist_km,dist_hr
GANSW703874688,fh228,42.9103,0.7063333333333334
GANSW703874688,fh49,28.5656,0.46366666666666667
GANSW703874688,fh25,15.186399999999999,0.3207777777777778
GANSW703877044,fh49,53.440400000000004,0.7516111111111111
GANSW703877044,fh228,49.0784,0.89525
GANSW703877044,fh25,7.4208,0.15736111111111112
GANSW703887193,fh49,5.1417,0.1439722222222222
GANSW703887193,fh228,50.0785,0.8030555555555555
GANSW703887193,fh25,46.44,0.6793055555555556
GANSW703899298,fh228,44.273300000000006,0.8464722222222223
GANSW703899298,fh92,73.11510000000001,1.1263611111111111
GANSW703899298,fh25,38.8106,0.6711111111111111
GANSW703918780,fh49,2.5302,0.09658333333333333
GANSW703918780,fh228,52.235800000000005,0.8470555555555556
GANSW703918780,fh25,48.5974,0.7233055555555555
GANSW703937708,fh228,20.2514,0.4628888888888889
GANSW703937708,fh49,46.3866,0.7275833333333334
GANSW703937708,fh25,28.297099999999997,0.4497777777777778
GANSW703959492,fh25,18.6169,0.32766666666666666
GANSW703959492,fh228,27.651,0.5572222222222222
GANSW703959492,fh49,36.278,0.6693888888888889
GANSW703960603,fh49,36.4744,0.6748611111111111
GANSW703960603,fh25,17.1938,0.30125
GANSW703960603,fh228,28.2308,0.5780277777777778
GANSW703963271,fh25,19.332,0.3388611111111111
GANSW703963271,fh228,26.9146,0.55
GANSW703963271,fh49,42.9988,0.6894722222222222
GANSW703994996,fh43,8.5818,0.15755555555555556
GANSW703994996,fh172,62.6049,0.9665
GANSW703994996,fh12,25.0442,0.36127777777777775
GANSW704009879,fh49,44.1373,0.6834166666666667
GANSW704009879,fh228,13.6459,0.29658333333333337
GANSW704009879,fh25,39.6839,0.6855555555555556
GANSW704038710,fh112,74.96039999999999,1.0680555555555555
GANSW704038710,fh22,51.107800000000005,0.9536388888888888
GANSW704038710,fh279,22.2542,0.4652222222222222
GANSW704049182,fh228,58.8019,1.1104444444444443
GANSW704049182,fh92,77.18639999999999,1.215472222222222
GANSW704049182,fh25,48.784099999999995,0.8339166666666666
GANSW704059570,fh141,47.9266,0.6880277777777778
GANSW704059570,fh74,29.624299999999998,0.4917222222222222
GANSW704059570,fh21,0.0582,0.003861111111111111
GANSW704082464,fh228,15.386,0.3620833333333333
GANSW704082464,fh49,39.1201,0.6015
GANSW704082464,fh25,30.0284,0.4984722222222222
GANSW704091896,fh22,57.317699999999995,0.9247777777777777
GANSW704091896,fh279,15.8204,0.33702777777777776
GANSW704091896,fh112,68.52669999999999,0.9379444444444445
GANSW704098599,fh46,14.5685,0.27052777777777776
GANSW704098599,fh143,15.114,0.2811388888888889
GANSW704098599,fh22,33.6304,0.6169444444444444
GANSW704111022,fh49,38.0156,0.5549722222222222
GANSW704111022,fh228,11.9611,0.2628611111111111
GANSW704111022,fh25,31.218799999999998,0.5212777777777777
GANSW704118445,fh49,40.7725,0.6126666666666667
GANSW704118445,fh228,12.5677,0.2756388888888889
GANSW704118445,fh25,33.975699999999996,0.5789722222222222
GANSW704133564,fh49,40.367,0.6401388888888889
GANSW704133564,fh25,21.3684,0.39216666666666666
GANSW704133564,fh228,24.282799999999998,0.5006666666666667
GANSW704135659,fh49,45.1975,0.6748888888888889
GANSW704135659,fh228,41.7812,0.7694166666666666
GANSW704135659,fh25,2.2209,0.059138888888888894
GANSW704146387,fh228,41.654300000000006,0.7625277777777778
GANSW704146387,fh25,2.0569,0.05211111111111111
GANSW704146387,fh49,45.0706,0.668
GANSW704148934,fh49,46.0986,0.6928611111111111
GANSW704148934,fh228,46.306400000000004,0.8338055555555555
GANSW704148934,fh25,4.7036999999999995,0.10391666666666667
GANSW704154765,fh21,32.5005,0.5343888888888889
GANSW704154765,fh141,52.6879,0.7218333333333333
GANSW704154765,fh74,60.6456,0.9679722222222221
GANSW704179453,fh228,28.3813,0.5905555555555555
GANSW704179453,fh25,41.3489,0.72225
GANSW704179453,fh49,58.4807,0.9479166666666666
GANSW704182755,fh112,34.7308,0.6873611111111111
